Venue ID,Venue Name,Region,Capacity,Tech Tier,Contact Info,First OEFF Year,Accessibility,Notes
V-001,Columbia College - Film Row Cinema,"Chicago Central (Downtown, Loop)",260,T1,,,,
V-002,Trinity Lutheran Church,Northern Suburbs (Des Plaines),120,T2,,,,
V-003,Climate Action Evanston,Northern Suburbs (Evanston),,T2,,,,Original: Climate Action Evanston likely at.
V-004,Uncommon Ground,Chicago North (Lakeview),50,T2,,,,
V-005,Village of Oak Park,Near West Suburbs (Oak Park),,T2,,,,"Original: Village of Oak Park at location TBD, possibly OPRF High School."
V-006,Institute of Cultural Affairs in the USA,Chicago North (Uptown),,T2,,,,
V-007,Bethel New Life,Chicago West (Austin),120?,T2,,,,
V-008,Triton College,Western Suburbs (River Grove),Check last yr HH,T2,,,,
V-009,Cultivate Collective (at Academy for Global Citizenship),Chicago South (Stickney/Brighton Park),Check last yr HH,T2,,,,
V-010,Kehrein Center for the Arts at BlkRoom,Chicago West (Garfield Park),,T2,,,,
V-011,Black Girl Environmentalists at UIC or Patagonia Fulton Market,TBD,,T2,,,,
V-012,Broadway United Methodist Church,Chicago North (East Lakeview),Check last yr HH,T2,,,,
V-013,Dominican University,Western Suburbs (River Forest),Check email thread,T2-H,,,,
V-014,Chicago Cultural Center,"Chicago Central (Downtown, Loop)",200,T1,,,,
V-015,"BUILD, Inc.",Westside,,T2,,,,
V-016,Go Green Park Ridge,NW Suburbs,,T2,,,,Original: Go Green Park Ridge possibly at Pickwick Theater.
V-017,Illinois Clinicians for Climate Action,,,T2,,,,Original: Illinois Clinicians for Climate Action at TBD location or with TBD partner.
V-018,Euclid AVE UMC,,,T2,,,,
V-019,Seven Generations Ahead,,,T2,,,,
V-020,"Trinity Lutheran, Des Plaines (Prospect)",Northern Suburbs (Des Plaines),,,"John Stoffregen <jstoff304@gmail.com>, Trinity Lutheran (Des Plaines) Green Team",,,
V-021,Northbrook Public Library,Northern Suburbs (Northbrook),,,,,,
V-022,Loyola University Law School,,,,,,,
V-023,Discover Card/Capital One,,,,,,,
V-024,"Village of Oak Park at Oak Park Village Hall (with Sustainability Department, Chief Sustainability Officer)",Near West Suburbs (Oak Park),,,"Lindsey Nieratka <LNieratka@oak-park.us>,",,,
V-026,Epiphany Center for the Arts (said they are interested in 2026),Near West,,,,,,
V-027,Cultivate Collective/Academy for Global Citizenship (said they are interested in 2026),,,,,,,
V-028,"Lizadro Museum (gem museum), Northbrook",,,,,,,
