Film ID,Film Title,Release Year,Primary Topic,Secondary Topic,Tertiary Topic,Marginalized Voices,Film Website,Trailer Link,Caption Status,Audio Description,Spanish Available,Intake Received,Notes
F26-001,Jane Goodall: Reasons for Hope,2025.0,Wildlife,Conservation,Historical Perspectives,false,Film website,,,,,true,
F26-002,Plastic People,2024.0,Waste & Recycling,Health & the Environment,Historical Perspectives,false,Film website,,,,,true,
F26-003,Beyond Zero,2020.0,Built Environment,Waste & Recycling,Environmental Advocacy,false,Film website,,,,,false,
F26-004,Drowned Land,2025.0,Environmental & Social Justice (Indigenous Voices),Water,People/Cultures,true,Film website,,,,,true,
F26-005,Rooted,2021.0,Sustainable Food/Ag,Environmental & Social Justice,Health & the Environment,true,Film website,,,,,true,
F26-006,How to Power a City,2024.0,Energy,Environmental Advocacy,Climate Change,true,Film website,,,,,true,
F26-007,Oscar Shorts: The Last Ranger / Planetwalker,2024.0,Wildlife / Historical Perspectives,Conservation / Environmental Advocacy,People/Cultures,true,Film website,,,,,true,
F26-008,40 Acres,2024.0,People/Cultures (Dystopian Fiction/Horror),Sustainable Food/Agriculture,Environmental & Social Justice,true,Film website,,,,,false,
F26-009,Climate Action Museum (CAM) Awards Partnership,,Climate Change,Various,Various,true,TBD,,,,,false,
F26-010,Whose Water?,2024.0,Water,Environmental & Social Justice,Health & the Environment,true,Film website,,,,,true,
F26-011,Rails to Trails,2025.0,Transportation,Historical Perspectives,Health & the Environment,true,Film website,,,,,true,
F26-012,In Our Nature,2025.0,Environmental & Social Justice,Environmental Advocacy,People/Cultures,true,Film website,,,,,true,
