Event ID,Year,Event Tier,Venue ID,Venue Name,Date,Time,Ticket Price,Event Type,Film ID,Film Title,Film Status,Film Survey Complete,Pipeline Status,OEFF Rep,Team Contact,Host Fee Ask,Host Fee Committed,Host Fee Invoice Amount,Host Fee Invoice Info,Host Fee Invoice Sent,Host Fee Reminder Sent,Host Fee Payment Received,Host Fee Status,Licensing Request Status,License Status,Film License Amount,Film Licensing Contact,License Invoice Received,License Invoice Paid,Volunteer Needs,Notes
E26-015,2026,Flagship,V-014,Chicago Cultural Center,,,,Public,,,,,Scheduled,,,,,,,,,,,,,,,,,,
E26-016,2026,Community,V-015,"BUILD, Inc.",,,,TBD,,,,,Confirmed Interest,,,,,,,,,,,,,,,,,,
E26-017,2026,Community,V-016,Go Green Park Ridge,,,,TBD,,,,,Confirmed Interest,,,,,,,,,,,,,,,,,,
E26-018,2026,Community,V-017,Illinois Clinicians for Climate Action,,,,TBD,,,,,Confirmed Interest,,,,,,,,,,,,,,,,,,
E26-019,2026,Community,V-018,Euclid AVE UMC,,,,TBD,,,,,Confirmed Interest,,,,,,,,,,,,,,,,,,
E26-020,2026,Community,V-019,Seven Generations Ahead,,,,TBD,,,,,Confirmed Interest,,,,,,,,,,,,,,,,,,
E26-021,2026,,V-020,"Trinity Lutheran, Des Plaines (Prospect)",,,,TBD,,,,,Interested,,,,,,,,,,,,,,,,,,Email inquiry to Josh/form response 9/23/25
E26-022,2026,,V-021,Northbrook Public Library,,,,TBD,,,,,Interested,,,,,,,,,,,,,,,,,,"Ana met with them in Nov
Referred by Aaron Stash from Electric Home Company"
E26-023,2026,,V-022,Loyola University Law School,,,,TBD,,,,,Interested,,,,,,,,,,,,,,,,,,
E26-024,2026,,V-023,Discover Card/Capital One,,,,TBD,,,,,Interested,,,,,,,,,,,,,,,,,,
E26-025,2026,,V-024,"Village of Oak Park at Oak Park Village Hall (with Sustainability Department, Chief Sustainability Officer)",,,,TBD,,,,,Interested,,Ana,,,,,,,,,,,,,,,,9/24/25: Lindsey confirmed OEFF2026 interest
E26-027,2026,,V-026,Epiphany Center for the Arts (said they are interested in 2026),,,,TBD,,,,,Interested,,,,,,,,,,,,,,,,,,Drew said they are interested in 2026
E26-028,2026,,V-027,Cultivate Collective/Academy for Global Citizenship (said they are interested in 2026),,,,TBD,,,,,Interested,,,,,,,,,,,,,,,,,,Kris de la Torre said they are interested in 2026
E26-029,2026,,V-028,"Lizadro Museum (gem museum), Northbrook",,,,TBD,,,,,Interested,,,,,,,,,,,,,,,,,,Recommended by Lucinda 10/2025
E26-001,2026,Flagship,V-001,Columbia College - Film Row Cinema,2026-04-22,6-9P,$75 ea or two for $150,Public but ticketed or invite only,F26-001,Reasons for Hope: Dr. Jane Goodall,Confirmed,,Scheduled,,Michael,,,,,,,,,,,,,,,,Tix: $75 ea or two for $150
E26-002,2026,Community,V-002,Trinity Lutheran Church,2026-04-23,6:30P,Free,Public,F26-003,Beyond Zero,Confirmed,,Scheduled,,Ana,,,,,,,,,,,,,,,,Tix: Free
E26-003,2026,Community,V-003,Climate Action Evanston,2026-04-23,6:30P,Free,Public,F26-002,Plastic People,Confirmed,,Scheduled,,Ana,,,,,,,,,,,,,,,,Tix: Free
E26-004,2026,Flagship,V-004,Uncommon Ground,2026-04-23,6:30P,Free,Public,,TBD,,,Scheduled,,Ana,,,,,,,,,,,,,,,,Tix: Free
E26-005,2026,Flagship,V-001,Columbia College - Film Row Cinema,2026-04-23,6:30P,$75 ea or two for $150,Public,F26-004,Drowned Land,Pending,,Scheduled,,Michael,,,,,,,,,,,,,,,,Tix: Free
E26-006,2026,Community,V-005,Village of Oak Park,2026-04-24,6:30P,Free,Public,F26-006,How to Power a City,Pending,,Scheduled,,Ana,,,,,,,,,,,,,,,,Tix: Free
E26-007,2026,Community,V-006,Institute of Cultural Affairs in the USA,2026-04-24,6:30P,Free,Public,F26-006,How to Power a City,Pending,,Scheduled,,Ana,,,,,,,,,,,,,,,,Tix: Free
E26-008,2026,Community,V-007,Bethel New Life,2026-04-24,6:30P,Free,Public,F26-005,Rooted,Confirmed,,Scheduled,,Ana,,,,,,,,,,,,,,,,Tix: Free
E26-009,2026,Community,V-008,Triton College,2026-04-24,6:30P,Free,Public,F26-006,How to Power a City,Confirmed,,Scheduled,,Ana,,,,,,,,,,,,,,,,Tix: Free
E26-010,2026,Community,V-009,Cultivate Collective (at Academy for Global Citizenship),2026-04-25,1P,Free,Public,,Young Filmmakers Winner Short Films,,,Scheduled,,Ana,,,,,,,,,,,,,,,,Tix: Free
E26-011,2026,Community,V-010,Kehrein Center for the Arts at BlkRoom,2026-04-25,1P,Free,Public,F26-008,40 Acres,Pending,,Scheduled,,Ana,,,,,,,,,,,,,,,,Tix: Free
E26-012,2026,Community,V-011,Black Girl Environmentalists at UIC or Patagonia Fulton Market,2026-04-25,1P,Free,Public,F26-008,40 Acres,Pending,,Scheduled,,Ana,,,,,,,,,,,,,,,,Tix: Free
E26-013,2026,Community,V-012,Broadway United Methodist Church,2026-04-25,6:30P,Free,Public,F26-011,From Rails to Trails,Confirmed,,Scheduled,,Ana,,,,,,,,,,,,,,,,Tix: Free
E26-014,2026,Community/Hybrid Stream,V-013,Dominican University,2026-04-27,,Free,Public,F26-005,Rooted,Confirmed,,Scheduled,,Ana/Garen,,,,,,,,,,,,,,,,Tix: Free; Film suggestion: Also consider Food2050
E25-023,2025,,V-020,"Trinity Lutheran, Des Plaines (Prospect)",,,,Public,,,TBD,,Interested,,,,,,,,,,,,,,,,,,
E25-024,2025,,V-021,Northbrook Public Library,,,,Public,,,TBD,,Interested,,,,,,,,,,,,,,,,,,
E25-025,2025,,V-022,Loyola University Law School,,,,Public,,,TBD,,Interested,,,,,,,,,,,,,,,,,,
E25-026,2025,,V-023,Discover Card/Capital One,,,,Public,,,TBD,,Interested,,,,,,,,,,,,,,,,,,
E25-027,2025,,V-024,"Village of Oak Park at Oak Park Village Hall (with Sustainability Department, Chief Sustainability Officer)",,,,Public,,,TBD,,Interested,,,,,,,,,,,,,,,,,,
E25-028,2025,,V-001,Columbia College - Film Row Cinema,,,,Public,,,TBD,,Interested,,,,,,,,,,,,,,,,,,
E25-029,2025,,V-026,Epiphany Center for the Arts (said they are interested in 2026),,,,Public,,,TBD,,Interested,,,,,,,,,,,,,,,,,,
E25-030,2025,,V-027,Cultivate Collective/Academy for Global Citizenship (said they are interested in 2026),,,,Public,,,TBD,,Interested,,,,,,,,,,,,,,,,,,
E25-031,2025,,V-028,"Lizadro Museum (gem museum), Northbrook",,,,Public,,,TBD,,Interested,,,,,,,,,,,,,,,,,,
E25-032,2025,,V-035,7 Van Buren?,,,,Public,,,TBD,,Interested,,,,,,,,,,,,,,,,,,
E25-036,2025,,V-038,New Sound Cafe in Austin,,,,Public,,,TBD,,Interested,,,,,,,,,,,,,,,,,,
E25-037,2025,,V-039,Oak Park Arts Center,,,,Public,,,TBD,,Interested,,,,,,,,,,,,,,,,,,
E25-045,2025,,V-041,St James,,,,Public,,,TBD,,Interested,,,,,,,,,,,,,,,,,,
E25-046,2025,,V-042,Countryside Church UU in Palatine,,,,Public,,,TBD,,Interested,,,,,,,,,,,,,,,,,,
E25-048,2025,,V-017,Illinois Clinicians for Climate Action,,,,Public,,,TBD,,Interested,,,,,,,,,,,,,,,,,,
E25-049,2025,,V-043,The Horticultural Society of New York,,,,Public,,,TBD,,Interested,,,,,,,,,,,,,,,,,,
E25-052,2025,,V-044,Lincoln Park Zoo,,,,Public,,,TBD,,Interested,,,,,,,,,,,,,,,,,,
E25-053,2025,,V-045,Milwaukee Film Fest?,,,,Public,,,TBD,,Interested,,,,,,,,,,,,,,,,,,
E25-054,2025,,V-046,Midwest Film Fest?,,,,Public,,,TBD,,Interested,,,,,,,,,,,,,,,,,,
E25-055,2025,,V-020,"Trinity Lutheran, Des Plaines (Prospect)",,,,Public,,,TBD,,Interested,,,,,,,,,,,,,,,,,,
E25-056,2025,,V-047,Carter G Woodson Branch,,,,Public,,,TBD,,Interested,,,,,,,,,,,,,,,,,,
E25-057,2025,,V-048,Irish American Heritage Center (reco from Lucinda),,,,Public,,,TBD,,Interested,,,,,,,,,,,,,,,,,,
E25-058,2025,,V-049,Geography,,,,Public,,OEFF Rep/s,TBD,,Scheduled,,,,,,,,,,,,,,,,,,
E25-059,2025,,V-050,Northwest (Galewood/Belmont-Cragin),,,,Public,,,TBD,,Scheduled,,,,,,,,,,,,,,,,,,
E25-060,2025,,V-051,North Suburbs: Park Ridge,,,,Public,,,TBD,,Interested,,,,,,,,,,,,,,,,,,
E25-061,2025,,V-052,Near West Suburbs,,,,Public,,,TBD,,Scheduled,,,,,,,,,,,,,,,,,,
E25-064,2025,,V-053,West Suburbs (River Grove),,,,Public,,,TBD,,Scheduled,,,,,,,,,,,,,,,,,,
E25-065,2025,,V-005,Village of Oak Park,,,,Public,,,TBD,,Scheduled,,,,,,,,,,,,,,,,,,
E25-066,2025,,V-054,"Near West, Oak Park",,,,Public,,,TBD,,Scheduled,,,,,,,,,,,,,,,,,,
E25-068,2025,,V-072,Austin/Greater West Side,,,,Public,,,TBD,,Interested,,,,,,,,,,,,,,,,,,
E25-070,2025,,V-054,"Near West, Oak Park",,,,Public,,,TBD,,Scheduled,,,,,,,,,,,,,,,,,,
E25-071,2025,,V-080,South-Bronzeville,,,,Public,,,TBD,,Scheduled,,,,,,,,,,,,,,,,,,
E25-072,2025,,V-057,North-Lincoln Park,,,,Public,,,TBD,,Interested,,,,,,,,,,,,,,,,,,
