Event ID,Packet ID,Event Num,Event Time,Film,Location,Sponsor Loop,Opening Remarks,Yfc Promo,Oeff Promo,Sponsor Slide,Laurel,Yfc Short,Feature,Qr Loop,Concat Created,Status,Notes
E25-001,PKT-001,1,6:30-9P,Launch Party (No feature film),"Sarabande, 2718 W. Roscoe St., Chicago, IL 60618",Done,,,,,,"Ocean Monologue, Bohdana Bihdan (3 min)",Launch Party (No feature film),,open,,
E25-002,PKT-002,2,"6-9P
*Doors open 5:30P",The Hills,"Illinois Institute of Technology, 10 West 35th Str",done,,,,,,"The Atlantis Mussels, Rachmat Kurniawan Idrus and Azyd Aqsha Madani (4 min)",The Hills,,open,,
E25-003,PKT-003,3,"6-9P
*Doors open 5:30P","Every Little Thing
at Uncommon Ground with Chicago","Uncommon Ground (Lakeview)
3800 N Clark St, Chicag",needs work,,,,,,"Does Uncommon Ground still have a charging station onsite? Or neaby?
The Most Wonderful Choice of the Year, Young Filmmakers attend Magnolia Elementary School in Carlsbad, California (4 min)","Every Little Thing
at Uncommon Ground with Chicago Women in Green
+ CONFIRMED addition of Broken Flight (18 min)",,open,,
E25-004,PKT-004,4,"6-9P
*Doors open 5:45P","Every Little Thing
with the Village of Oak Park Su","Village of Oak Park at Oak Park Village Hall, 123",needs work,,,,,,"The Most Wonderful Choice of the Year, Young Filmmakers attend Magnolia Elementary School in Carlsbad, California (4 min)","Every Little Thing
with the Village of Oak Park Sustainability Department

+ CONFIRMED addition of Broken Flight (18 min)",,open,,
E25-035,PKT-005,5,"5:30-9P
*Doors open at 5P",Bad River,"Epiphany Center for the Arts
201 S Ashland Ave, Ch",done,,,,,,"The Kiribati Project, Loyola University Chicago students Michael Rogowski, Taylor Zielenbach, Robbert Kennedy, and Zanjay Numbiar alongside Kiribati Youth (5 min)",Bad River,,open,,
E25-039,PKT-006,6,"6:30-9P
*Should say 6P (not 6:30P) for doors open-registration/seating time default",Bad River,"Dominican University, Parmer Hall
7900 Division St",done,,Done,Done,Done,Done,"The Kiribati Project, Loyola University Chicago students Michael Rogowski, Taylor Zielenbach, Robbert Kennedy, and Zanjay Numbiar alongside Kiribati Youth (5 min)",Done,Done,Done,Done,
E25-040,PKT-007,7,"5:45-9P
Doors open 5:45P for X.....",Bad River,"Three Brothers Theatre
221 N Genesee St, Waukegan,",done,,,,,,"The Kiribati Project, Loyola University Chicago students Michael Rogowski, Taylor Zielenbach, Robbert Kennedy, and Zanjay Numbiar alongside Kiribati Youth (5 min)",Bad River,,open,,
E25-005,PKT-008,8,"6-9P
*Doors open 5:30P for refreshments, check-in
Pre-film trash fashion show by Triton College Fashion Club at 6P",Slay,"Triton College
2000 5th Ave, River Grove, IL 60171",done,,,,,,"Black Tide, Chloe Ban (3.5 min)",Slay,,open,,
E25-006,PKT-009,9,"6-8:30P
*Doors open 5:15P for check-in + tours for the first 30 guests, purchase of food + beverage (1 free drink w ticket)","Single-Use Planet
with The Plant/Bubbly Dynamics a","The Plant
1400 W 46th St, Chicago, IL 60609",done,,,,,,"Throwaway Living, Laura Malatos & Helen Sun, Graduates from University of Southern California School of Cinematic Arts and New York Film Academy (3.5 min)","Single-Use Planet
with The Plant/Bubbly Dynamics and Whiner Beer Company",,open,,
E25-007,PKT-010,10,"5:30-9P
*Doors open 5:30P for check-in + Redemptive Plastics exhibition","Single-Use Planet
*with Alt Space Chicago & Redemp","Alt Space Chicago
5645 W Corcoran Pl, Chicago, IL",done,,,,,,"Throwaway Living, Laura Malatos & Helen Sun, Graduates from University of Southern California School of Cinematic Arts and New York Film Academy (3.5 min)","Single-Use Planet
*with Alt Space Chicago & Redemptive Plastics, and ""Crosstown CoLab"" with CEJN (Chicago Environmental Justice Network) and WEJA (Westside Environmental Justice Alliance)",,open,,
E25-008,PKT-011,11,"6-9P
*Doors open?",Single-Use Planet,"Institute of Cultural Affairs
4750 N Sheridan Rd,",done,,,,,,"Throwaway Living, Laura Malatos & Helen Sun, Graduates from University of Southern California School of Cinematic Arts and New York Film Academy (3.5 min)",Single-Use Planet,,open,,
E25-009,PKT-012,12,"5:45-9P
*Doors open 5:45 for check-in, refreshments + action fair",50 States of Sustainability,"Broadway United Methodist Church
3338 N Broadway,",done,,,,,,"A Dark Future, Riley Adler, Curran Randhawa, Dylan Wilson, and Janelle Lim (5.5 min)",50 States of Sustainability,,open,,
E25-010,PKT-013,13,"6-9P
*Doors open?",50 States of Sustainability,"Gary United Methodist Church
224 N Main St, Wheato",done,,,,,,"A Dark Future, Riley Adler, Curran Randhawa, Dylan Wilson, and Janelle Lim (5.5 min)",50 States of Sustainability,,open,,
E25-011,PKT-014,14,10:45A-1P,Cafeteria Man,"BUILD Chicago
5100 W Harrison St, Chicago, IL 6064",done,,,,,,"If I Could, Saron Bahre (4 min)",Cafeteria Man,,open,,
E25-012,PKT-015,15,10:30A-1:30P,Cafeteria Man,Academy for Global Citizenship with Cultivate Coll,done,,,,,,"Monarchs in Motion, Mason Mirabile (8 min)",Cafeteria Man,,open,,
E25-013,PKT-016,16,10:30A-1P,Cafeteria Man,Oak Park Public Library,done',,,,,,"If I Could, Saron Bahre (4 min)",Cafeteria Man,,open,,
E25-034,PKT-017,17,10:30A-1:30P,Cafeteria Man,"Three Brothers Theatre, 221 N Genesee St, Waukegan",done,,,,,,"If I Could, Saron Bahre (4 min)",Cafeteria Man,,open,,
E25-042,PKT-018,18,5:45-9P,"Food Inc 2
with Andersonville Chamber of Commerce",Andersonville Chamber of Commerce (Conference Spac,done,,,,,,"Monarchs in Motion, Mason Mirabile (8 min)","Food Inc 2
with Andersonville Chamber of Commerce at Chicago Filmmakers",,open,,
E25-014,PKT-019,19,5:45-9P,"Food Inc 2
with Palos Heights Library at Palos Hei","Palos Heights Rec Center
6601 W. 127th St. Palos H",done,,,,,,"Monarchs in Motion, Mason Mirabile (8 min)","Food Inc 2
with Palos Heights Library at Palos Heights Rec Center",,open,,
E25-015,PKT-020,20,"5:30-8:30P
*Doors open for check-in, action fair, purchase of food + beverages (alcoholic and NA); possible pre-film ride at 5P from Garfield Park to Kehrein Center","When We Cycle
with Euclid Ave United Methodist Chu","Kehrein Center for the Arts
5628 W Washington Blvd",done,,,,,,"Understorey by Claire Riverland, Lily Newcombe, Isabella Sanderson, and Spencer Cameron (7 min)","When We Cycle
with Euclid Ave United Methodist Church at Kehrein Center for the Arts

3/24 approval to add Equiticity ""Connecting Chicago"" short film (5 min)",,open,,
E25-016,PKT-021,21,"6-9P
*Doors open earlier for engagements?","When We Cycle
with Go Green Park Ridge at Park Rid","Park Ridge Community Church
100 Courtland Ave, Par",done,,,,,,"Understorey by Claire Riverland, Lily Newcombe, Isabella Sanderson, and Spencer Cameron (7 min)","When We Cycle
with Go Green Park Ridge at Park Ridge Community Church",,open,,
E25-017,PKT-022,22,1-4:15P,"The Grab
preceded by Earth Day Action Fair

IN PER","Chicago Cultural Center: Claudia Cassidy Theater
7",done,,,,,,"Foundation, Jack Hinz (7 min)
*Honorable Mention winner","The Grab
preceded by Earth Day Action Fair

IN PERSON & VIRTUAL",,open,,
E25-018,PKT-023,23,"5:30-8:30P
*Doors open 5:30P for pre-reception and networking?","Women of Carbon
with Studio Gang and Chicago Clima","Chicago Architecture Center, 
111 E Wacker Dr, Chi",done,,,,,,"Two Level House, Arfiyan Dewa Purnama (5 min)
*2024 Post-Grad winner","Women of Carbon
with Studio Gang and Chicago Climate Action Museum at Chicago Architecture Center

IN PERSON & VIRTUAL",,open,,
